datetime,open,high,low,close,volume
03-06-2021 08:00,38634.77,39476,38518.96,38781.75,16219.77489
03-06-2021 12:00,38781.75,39265.25,38288,38535.61,17461.33172
03-06-2021 16:00,38535.6,38997,38431.03,38596.64,9064.796188
03-06-2021 20:00,38596.65,39450,38532.31,39246.79,8466.830572
04-06-2021 00:00,39246.78,39289.07,37320.26,37933.72,17147.96417
04-06-2021 04:00,37933.73,37939.25,36218.21,36610.29,23389.57437
04-06-2021 08:00,36606.8,37028.65,36072.82,36585.66,13162.87543
04-06-2021 12:00,36585.67,37139,35555.15,36948.85,21006.88208
04-06-2021 16:00,36948.86,37248.94,36708,36800.99,9025.764882
04-06-2021 20:00,36801,37246.99,36462.42,36829,7584.738314
05-06-2021 00:00,36829.15,37846.6,36613.22,37410,9026.45342
05-06-2021 04:00,37410.04,37925,37410.04,37582.14,6937.427113
05-06-2021 08:00,37582.13,37850,35667,35869.42,17020.94441
05-06-2021 12:00,35869.42,36435,35250,36321.42,16230.48953
05-06-2021 16:00,36321.42,36324.2,35692.04,35778.94,7580.997566
05-06-2021 20:00,35777.61,36016.1,34800,35513.2,13663.30945
06-06-2021 00:00,35516.07,36257.34,35405.61,35989.67,8393.518369
06-06-2021 04:00,35988.56,36480,35701.04,36132.57,7058.620765
06-06-2021 08:00,36132.52,36414.55,35800.93,35868.13,7201.662815
06-06-2021 12:00,35868.12,36429.28,35450,36157.47,9473.724725
06-06-2021 16:00,36157.47,36317.81,35705,35747.15,6657.597267
06-06-2021 20:00,35747.14,35995.28,35222,35796.31,8865.082696
07-06-2021 00:00,35796.31,36900,35498.62,36392.93,11686.91808
07-06-2021 04:00,36392.94,36545.01,35850.66,36139.99,7855.827571
07-06-2021 08:00,36139.99,36591.72,35900.52,36376.47,10325.1777
07-06-2021 12:00,36376.47,36777.47,35860.5,36035.51,10919.4943
07-06-2021 16:00,36035.35,36079.63,35328.02,35634.46,10952.38654
07-06-2021 20:00,35634.45,35744.52,33300,33552.79,25835.14838
08-06-2021 00:00,33556.96,34068.01,32351,32817.09,27138.25221
08-06-2021 04:00,32817.09,33246.09,32123,32966.7,18150.28085
